Wallet loaded: EpG25pVadjQ9M9NHJMXZ...
📊 Monitoring ATLAS (DYNAMIC TP/SL)...
  SL: $0.00018998
  TP1: $0.00020761 (50% exit)
  TP2: $0.00021487 (final exit)
  Max Hold: 180 min
8:32:44 PM | ATLAS: $0.00020580 | PnL: +1.83% | Hold: 167m left
8:32:49 PM | ATLAS: $0.00020580 | PnL: +1.83% | Hold: 167m left
8:32:54 PM | ATLAS: $0.00020580 | PnL: +1.83% | Hold: 167m left
8:32:59 PM | ATLAS: $0.00020580 | PnL: +1.83% | Hold: 167m left
8:33:05 PM | ATLAS: $0.00020580 | PnL: +1.83% | Hold: 167m left
8:33:10 PM | ATLAS: $0.00020580 | PnL: +1.83% | Hold: 166m left
8:33:15 PM | ATLAS: $0.00020580 | PnL: +1.83% | Hold: 166m left
8:33:20 PM | ATLAS: $0.00020580 | PnL: +1.83% | Hold: 166m left
8:33:25 PM | ATLAS: $0.00020580 | PnL: +1.83% | Hold: 166m left
8:33:30 PM | ATLAS: $0.00020580 | PnL: +1.83% | Hold: 166m left
8:33:35 PM | ATLAS: $0.00020580 | PnL: +1.83% | Hold: 166m left
8:33:40 PM | ATLAS: $0.00020580 | PnL: +1.83% | Hold: 166m left
8:33:45 PM | ATLAS: $0.00020580 | PnL: +1.83% | Hold: 166m left
8:33:50 PM | ATLAS: $0.00020580 | PnL: +1.83% | Hold: 166m left
8:33:55 PM | ATLAS: $0.00020580 | PnL: +1.83% | Hold: 166m left
8:34:00 PM | ATLAS: $0.00020580 | PnL: +1.83% | Hold: 166m left
8:34:06 PM | ATLAS: $0.00020580 | PnL: +1.83% | Hold: 166m left
8:34:11 PM | ATLAS: $0.00020580 | PnL: +1.83% | Hold: 165m left
8:34:16 PM | ATLAS: $0.00020580 | PnL: +1.83% | Hold: 165m left
8:34:21 PM | ATLAS: $0.00020580 | PnL: +1.83% | Hold: 165m left
8:34:26 PM | ATLAS: $0.00020580 | PnL: +1.83% | Hold: 165m left
8:34:31 PM | ATLAS: $0.00020580 | PnL: +1.83% | Hold: 165m left
8:34:36 PM | ATLAS: $0.00020580 | PnL: +1.83% | Hold: 165m left
8:34:42 PM | ATLAS: $0.00020580 | PnL: +1.83% | Hold: 165m left
8:34:47 PM | ATLAS: $0.00020580 | PnL: +1.83% | Hold: 165m left
8:34:52 PM | ATLAS: $0.00020580 | PnL: +1.83% | Hold: 165m left
8:34:57 PM | ATLAS: $0.00020580 | PnL: +1.83% | Hold: 165m left
8:35:02 PM | ATLAS: $0.00020580 | PnL: +1.83% | Hold: 165m left
8:35:07 PM | ATLAS: $0.00020580 | PnL: +1.83% | Hold: 165m left
8:35:12 PM | ATLAS: $0.00020580 | PnL: +1.83% | Hold: 164m left
8:35:17 PM | ATLAS: $0.00020580 | PnL: +1.83% | Hold: 164m left
8:35:23 PM | ATLAS: $0.00020580 | PnL: +1.83% | Hold: 164m left
8:35:28 PM | ATLAS: $0.00020580 | PnL: +1.83% | Hold: 164m left
8:35:33 PM | ATLAS: $0.00020580 | PnL: +1.83% | Hold: 164m left
8:35:38 PM | ATLAS: $0.00020580 | PnL: +1.83% | Hold: 164m left
8:35:43 PM | ATLAS: $0.00020580 | PnL: +1.83% | Hold: 164m left
8:35:48 PM | ATLAS: $0.00020580 | PnL: +1.83% | Hold: 164m left
8:35:53 PM | ATLAS: $0.00020580 | PnL: +1.83% | Hold: 164m left
8:35:58 PM | ATLAS: $0.00020580 | PnL: +1.83% | Hold: 164m left
8:36:04 PM | ATLAS: $0.00020580 | PnL: +1.83% | Hold: 164m left
