Wallet loaded: EpG25pVadjQ9M9NHJMXZ...
📊 Monitoring awi (DYNAMIC TP/SL v2 - 5s interval)...
  Entry: $0.00045020
  Initial SL: $0.00044120
  Initial TP1: $0.00046821
  Initial TP2: $0.00047721
  Max Hold: 15 min (0.3 hours)
  Trailing: ENABLED (activates at +5%)
11:34:39 PM | awi: $0.00045010 | PnL: -0.02% | Momentum: neutral | SL: $0.000441
11:34:44 PM | awi: $0.00045010 | PnL: -0.02% | Momentum: neutral | SL: $0.000441
11:34:49 PM | awi: $0.00045010 | PnL: -0.02% | Momentum: neutral | SL: $0.000441
11:34:54 PM | awi: $0.00045010 | PnL: -0.02% | Momentum: neutral | SL: $0.000441
11:34:59 PM | awi: $0.00044450 | PnL: -1.27% | Momentum: neutral | SL: $0.000441
11:35:04 PM | awi: $0.00044450 | PnL: -1.27% | Momentum: neutral | SL: $0.000441
11:35:09 PM | awi: $0.00044450 | PnL: -1.27% | Momentum: neutral | SL: $0.000441
11:35:14 PM | awi: $0.00044450 | PnL: -1.27% | Momentum: neutral | SL: $0.000441
11:35:19 PM | awi: $0.00044450 | PnL: -1.27% | Momentum: neutral | SL: $0.000441
11:35:24 PM | awi: $0.00044450 | PnL: -1.27% | Momentum: neutral | SL: $0.000441
11:35:30 PM | awi: $0.00044900 | PnL: -0.27% | Momentum: neutral | SL: $0.000441
11:35:35 PM | awi: $0.00044900 | PnL: -0.27% | Momentum: neutral | SL: $0.000441
11:35:40 PM | awi: $0.00044900 | PnL: -0.27% | Momentum: neutral | SL: $0.000441
11:35:45 PM | awi: $0.00044900 | PnL: -0.27% | Momentum: neutral | SL: $0.000441
11:35:50 PM | awi: $0.00044900 | PnL: -0.27% | Momentum: neutral | SL: $0.000441
11:35:55 PM | awi: $0.00044900 | PnL: -0.27% | Momentum: neutral | SL: $0.000441
11:36:00 PM | awi: $0.00044900 | PnL: -0.27% | Momentum: neutral | SL: $0.000441
11:36:05 PM | awi: $0.00044900 | PnL: -0.27% | Momentum: neutral | SL: $0.000441
11:36:11 PM | awi: $0.00044900 | PnL: -0.27% | Momentum: neutral | SL: $0.000441
11:36:16 PM | awi: $0.00044900 | PnL: -0.27% | Momentum: neutral | SL: $0.000441
11:36:21 PM | awi: $0.00044900 | PnL: -0.27% | Momentum: neutral | SL: $0.000441
11:36:26 PM | awi: $0.00044900 | PnL: -0.27% | Momentum: neutral | SL: $0.000441
11:36:31 PM | awi: $0.00044900 | PnL: -0.27% | Momentum: neutral | SL: $0.000441
11:36:36 PM | awi: $0.00044900 | PnL: -0.27% | Momentum: neutral | SL: $0.000441
11:36:41 PM | awi: $0.00044900 | PnL: -0.27% | Momentum: neutral | SL: $0.000441
11:36:46 PM | awi: $0.00044900 | PnL: -0.27% | Momentum: neutral | SL: $0.000441
11:36:51 PM | awi: $0.00044900 | PnL: -0.27% | Momentum: neutral | SL: $0.000441
11:36:56 PM | awi: $0.00044900 | PnL: -0.27% | Momentum: neutral | SL: $0.000441
11:37:01 PM | awi: $0.00044900 | PnL: -0.27% | Momentum: neutral | SL: $0.000441
11:37:07 PM | awi: $0.00044900 | PnL: -0.27% | Momentum: neutral | SL: $0.000441
11:37:12 PM | awi: $0.00044900 | PnL: -0.27% | Momentum: neutral | SL: $0.000441
11:37:17 PM | awi: $0.00044900 | PnL: -0.27% | Momentum: neutral | SL: $0.000441
11:37:22 PM | awi: $0.00044900 | PnL: -0.27% | Momentum: neutral | SL: $0.000441
11:37:27 PM | awi: $0.00044900 | PnL: -0.27% | Momentum: neutral | SL: $0.000441
11:37:32 PM | awi: $0.00044900 | PnL: -0.27% | Momentum: neutral | SL: $0.000441
