Wallet loaded: EpG25pVadjQ9M9NHJMXZ...
📊 Monitoring COPE (DYNAMIC TP/SL)...
  SL: $0.00177195
  TP1: $0.00193636 (50% exit)
  TP2: $0.00200409 (final exit)
  Max Hold: 180 min
12:48:08 AM | COPE: $0.00187600 | PnL: -0.48% | Hold: 117m left
12:48:13 AM | COPE: $0.00187600 | PnL: -0.48% | Hold: 116m left
12:48:18 AM | COPE: $0.00187600 | PnL: -0.48% | Hold: 116m left
12:48:23 AM | COPE: $0.00187600 | PnL: -0.48% | Hold: 116m left
12:48:28 AM | COPE: $0.00187600 | PnL: -0.48% | Hold: 116m left
12:48:33 AM | COPE: $0.00187600 | PnL: -0.48% | Hold: 116m left
12:48:39 AM | COPE: $0.00187600 | PnL: -0.48% | Hold: 116m left
12:48:44 AM | COPE: $0.00187600 | PnL: -0.48% | Hold: 116m left
12:48:49 AM | COPE: $0.00187600 | PnL: -0.48% | Hold: 116m left
12:48:54 AM | COPE: $0.00187600 | PnL: -0.48% | Hold: 116m left
12:48:59 AM | COPE: $0.00187600 | PnL: -0.48% | Hold: 116m left
12:49:05 AM | COPE: $0.00187600 | PnL: -0.48% | Hold: 116m left
12:49:10 AM | COPE: $0.00187600 | PnL: -0.48% | Hold: 116m left
12:49:15 AM | COPE: $0.00187600 | PnL: -0.48% | Hold: 115m left
12:49:20 AM | COPE: $0.00187600 | PnL: -0.48% | Hold: 115m left
12:49:25 AM | COPE: $0.00187600 | PnL: -0.48% | Hold: 115m left
12:49:30 AM | COPE: $0.00187600 | PnL: -0.48% | Hold: 115m left
12:49:35 AM | COPE: $0.00187600 | PnL: -0.48% | Hold: 115m left
12:49:40 AM | COPE: $0.00187600 | PnL: -0.48% | Hold: 115m left
12:49:46 AM | COPE: $0.00187600 | PnL: -0.48% | Hold: 115m left
12:49:51 AM | COPE: $0.00187600 | PnL: -0.48% | Hold: 115m left
12:49:56 AM | COPE: $0.00187600 | PnL: -0.48% | Hold: 115m left
12:50:01 AM | COPE: $0.00187600 | PnL: -0.48% | Hold: 115m left
12:50:06 AM | COPE: $0.00187600 | PnL: -0.48% | Hold: 115m left
12:50:11 AM | COPE: $0.00187600 | PnL: -0.48% | Hold: 114m left
12:50:16 AM | COPE: $0.00187600 | PnL: -0.48% | Hold: 114m left
12:50:22 AM | COPE: $0.00187600 | PnL: -0.48% | Hold: 114m left
12:50:27 AM | COPE: $0.00187600 | PnL: -0.48% | Hold: 114m left
12:50:32 AM | COPE: $0.00187600 | PnL: -0.48% | Hold: 114m left
12:50:37 AM | COPE: $0.00187600 | PnL: -0.48% | Hold: 114m left
12:50:42 AM | COPE: $0.00187600 | PnL: -0.48% | Hold: 114m left
12:50:48 AM | COPE: $0.00187600 | PnL: -0.48% | Hold: 114m left
12:50:53 AM | COPE: $0.00187600 | PnL: -0.48% | Hold: 114m left
12:50:58 AM | COPE: $0.00187600 | PnL: -0.48% | Hold: 114m left
12:51:03 AM | COPE: $0.00187600 | PnL: -0.48% | Hold: 114m left
12:51:08 AM | COPE: $0.00187600 | PnL: -0.48% | Hold: 114m left
12:51:13 AM | COPE: $0.00187600 | PnL: -0.48% | Hold: 113m left
12:51:18 AM | COPE: $0.00187600 | PnL: -0.48% | Hold: 113m left
12:51:23 AM | COPE: $0.00187600 | PnL: -0.48% | Hold: 113m left
